"","ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1425898_x_at","1425898_x_at","olfactomedin 3","Olfm3","229759","","","","Mus musculus optimedin form B mRNA, complete cds; alternatively spliced",19386929,"AF442824",NA,NA,NA,"3 F3","Chromosome 3, NC_000069.6 (114904078..115125764)","protein binding","eye photoreceptor cell development","AMPA glutamate receptor complex///Golgi apparatus///cell junction///extracellular region///extracellular space///synapse","GO:0005515","GO:0042462","GO:0032281///GO:0005794///GO:0030054///GO:0005576///GO:0005615///GO:0045202",-1.10753371254883,5.98020787730622,-6.63462876745178,2.50483523044732e-05,0.00091474148767939,2.75963206424724
"1449863_a_at","1449863_a_at","distal-less homeobox 5","Dlx5","13395","","","","Mus musculus distal-less homeobox 5 (Dlx5), transcript variant 1, mRNA",557357669,"NM_010056",NA,NA,NA,"6 2.83 cM","Chromosome 6, NC_000072.6 (6877801..6882068, complement)","DNA binding///HMG box domain binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///protein binding///sequence-specific DNA binding///transcription regulatory region DNA binding///transcription regulatory region DNA binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding","BMP signaling pathway///anatomical structure formation involved in morphogenesis///axon guidance///axonogenesis///bone morphogenesis///cell proliferation///cellular response to BMP stimulus///ear development///embryonic limb morphogenesis///endochondral ossification///epithelial cell differentiation///face morphogenesis///head development///inner ear morphogenesis///inner ear morphogenesis///multicellular organism development///olfactory pit development///ossification///osteoblast differentiation///palate development///palate development///positive regulation of canonical Wnt signaling pathway///positive regulation of epithelial cell proliferation///positive regulation of osteoblast differentiation///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus///positive regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///regulation of transcription, DNA-templated///transcription, DNA-templated","cytoplasm///nuclear chromatin///nucleus","GO:0003677///GO:0071837///GO:0000978///GO:0005515///GO:0043565///GO:0044212///GO:0044212///GO:0001077","GO:0030509///GO:0048646///GO:0007411///GO:0007409///GO:0060349///GO:0008283///GO:0071773///GO:0043583///GO:0030326///GO:0001958///GO:0030855///GO:0060325///GO:0060322///GO:0042472///GO:0042472///GO:0007275///GO:0060166///GO:0001503///GO:0001649///GO:0060021///GO:0060021///GO:0090263///GO:0050679///GO:0045669///GO:0045944///GO:1901522///GO:0045893///GO:0045893///GO:0006355///GO:0006351","GO:0005737///GO:0000790///GO:0005634",-1.05539412055835,6.12289386467492,-6.62584744552067,2.53671119973583e-05,0.000925632781709431,2.74663148993882
"1436125_at","1436125_at","DNA segment, Chr 16, ERATO Doi 472, expressed","D16Ertd472e","67102","","","","AV381575 RIKEN full-length enriched, adult male epididymis Mus musculus cDNA clone 9230116L08 3-, mRNA sequence",16398336,"AV381575",NA,NA,NA,"16 45.36 cM","Chromosome 16, NC_000082.6 (78540336..78576688, complement)","molecular_function","biological_process","cellular_component","GO:0003674","GO:0008150","GO:0005575",-1.14682594736655,7.21145310869561,-6.5953805886648,2.65069346073496e-05,0.000951065439718435,2.70144219873659
"1440452_at","1440452_at","dystrophin related protein 2","Drp2","13497","","","","UI-M-BH3-aus-d-04-0-UI.s1 NIH_BMAP_M_S4 Mus musculus cDNA clone UI-M-BH3-aus-d-04-0-UI 3-, mRNA sequence",7065546,"AW495265",NA,NA,NA,"X E3","Chromosome X, NC_000086.7 (134404628..134456574)","metal ion binding///protein binding///zinc ion binding","central nervous system development///synapse organization","cell junction///cell projection///dendrite///membrane///plasma membrane///postsynaptic membrane///synapse","GO:0046872///GO:0005515///GO:0008270","GO:0007417///GO:0050808","GO:0030054///GO:0042995///GO:0030425///GO:0016020///GO:0005886///GO:0045211///GO:0045202",-1.25782854386237,6.5641834195637,-6.57805720095335,2.71792237268226e-05,0.000969786526347647,2.67568964831117
"1417178_at","1417178_at","GIPC PDZ domain containing family, member 2","Gipc2","54120","","","","Mus musculus GIPC PDZ domain containing family, member 2 (Gipc2), mRNA",8394257,"NM_016867",NA,NA,NA,"3 H3","Chromosome 3, NC_000069.6 (152093839..152165900, complement)","protein binding","biological_process","cytoplasm///extracellular exosome","GO:0005515","GO:0008150","GO:0005737///GO:0070062",-1.00494610455885,8.4389196173793,-6.57474189309265,2.73099397704256e-05,0.000972911211363321,2.67075638796712
"1426959_at","1426959_at","3-hydroxybutyrate dehydrogenase, type 1","Bdh1","71911","","","","",NA,"",NA,NA,NA,"16 B2","Chromosome 16, NC_000082.6 (31422297..31458901)","3-hydroxybutyrate dehydrogenase activity///catalytic activity///oxidoreductase activity///phospholipid binding","metabolic process///oxidation-reduction process","cytoplasm///membrane///mitochondrial inner membrane///mitochondrial inner membrane///mitochondrion///mitochondrion///nucleoplasm","GO:0003858///GO:0003824///GO:0016491///GO:0005543","GO:0008152///GO:0055114","GO:0005737///GO:0016020///GO:0005743///GO:0005743///GO:0005739///GO:0005739///GO:0005654",-1.32065411108479,5.50571376119547,-6.57093991580172,2.74606677329785e-05,0.000975968144542998,2.66509705238096
"1451129_at","1451129_at","calbindin 2","Calb2","12308","","","","Mus musculus calbindin 2, mRNA (cDNA clone MGC:28989 IMAGE:4527074), complete cds",17160977,"BC017646",NA,NA,NA,"8 E1","Chromosome 8, NC_000074.6 (110142538..110168206, complement)","calcium ion binding///calcium ion binding///metal ion binding","regulation of cytosolic calcium ion concentration///regulation of cytosolic calcium ion concentration","cell///cytoplasm///cytosol///gap junction///neuron projection///nucleus///nucleus///synapse///terminal bouton","GO:0005509///GO:0005509///GO:0046872","GO:0051480///GO:0051480","GO:0005623///GO:0005737///GO:0005829///GO:0005921///GO:0043005///GO:0005634///GO:0005634///GO:0045202///GO:0043195",-1.13212685532756,8.27541207757937,-6.55728594559036,2.80093099554786e-05,0.000990006182054891,2.64475605261321
"1459030_at","1459030_at","butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)","Bbox1","170442","","","","ul22g04.x1 Sugano mouse embryo mewa Mus musculus cDNA clone IMAGE:2088342 3-, mRNA sequence",5548726,"AI874739",NA,NA,NA,"2 E3","Chromosome 2, NC_000068.7 (110264056..110314816, complement)","dioxygenase activity///gamma-butyrobetaine dioxygenase activity///iron ion binding///metal ion binding///oxidoreductase activity///zinc ion binding","carnitine biosynthetic process///oxidation-reduction process","cytoplasm///extracellular exosome///mitochondrion","GO:0051213///GO:0008336///GO:0005506///GO:0046872///GO:0016491///GO:0008270","GO:0045329///GO:0055114","GO:0005737///GO:0070062///GO:0005739",-1.22577583964217,4.50181750231138,-6.54753933259599,2.8408071361646e-05,0.00100096283318875,2.6302200171308
"1454714_x_at","1454714_x_at","3-phosphoglycerate dehydrogenase","Phgdh","236539","","","","",NA,"",NA,NA,NA,"3 E1","Chromosome 3, NC_000069.6 (98313171..98339969, complement)","NAD binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///phosphoglycerate dehydrogenase activity///phosphoglycerate dehydrogenase activity","G1 to G0 transition///L-serine biosynthetic process///L-serine metabolic process///cellular amino acid biosynthetic process///gamma-aminobutyric acid metabolic process///glial cell development///glutamine metabolic process///glycine metabolic process///metabolic process///neural tube development///neurogenesis///neuron projection development///oxidation-reduction process///regulation of gene expression///serine family amino acid biosynthetic process///spinal cord development///taurine metabolic process///threonine metabolic process","extracellular exosome///myelin sheath","GO:0051287///GO:0016491///GO:0016616///GO:0004617///GO:0004617","GO:0070314///GO:0006564///GO:0006563///GO:0008652///GO:0009448///GO:0021782///GO:0006541///GO:0006544///GO:0008152///GO:0021915///GO:0022008///GO:0031175///GO:0055114///GO:0010468///GO:0009070///GO:0021510///GO:0019530///GO:0006566","GO:0070062///GO:0043209",-1.05943928218623,11.4362399256145,-6.41791575513166,3.43254501649296e-05,0.00115015759872845,2.43562793332925
"1456471_x_at","1456471_x_at","3-phosphoglycerate dehydrogenase pseudogene///3-phosphoglycerate dehydrogenase","Gm6756///Phgdh","627427///236539","","","","",NA,"",NA,NA,NA,"18///3 E1","Chromosome 18, NC_000084.6 (36920305..36922207)///Chromosome 3, NC_000069.6 (98313171..98339969, complement)","NAD binding///oxidoreductase activity///oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor///phosphoglycerate dehydrogenase activity///phosphoglycerate dehydrogenase activity","G1 to G0 transition///L-serine biosynthetic process///L-serine metabolic process///cellular amino acid biosynthetic process///gamma-aminobutyric acid metabolic process///glial cell development///glutamine metabolic process///glycine metabolic process///metabolic process///neural tube development///neurogenesis///neuron projection development///oxidation-reduction process///regulation of gene expression///serine family amino acid biosynthetic process///spinal cord development///taurine metabolic process///threonine metabolic process","extracellular exosome///myelin sheath","GO:0051287///GO:0016491///GO:0016616///GO:0004617///GO:0004617","GO:0070314///GO:0006564///GO:0006563///GO:0008652///GO:0009448///GO:0021782///GO:0006541///GO:0006544///GO:0008152///GO:0021915///GO:0022008///GO:0031175///GO:0055114///GO:0010468///GO:0009070///GO:0021510///GO:0019530///GO:0006566","GO:0070062///GO:0043209",-1.04423271040651,9.16978538741131,-6.34204334475817,3.83858755142487e-05,0.0012490918986783,2.3206257598996
"1429272_a_at","1429272_a_at","apolipoprotein L 7c pseudogene///apolipoprotein L 7c///apolipoprotein L 7a","Gm8221///Apol7c///Apol7a","666661///108956///75761","","","","Mus musculus adult male cecum cDNA, RIKEN full-length enriched library, clone:9130022K13 product:hypothetical Aspartic acid-rich region/Glutamic acid-rich region containing protein, full insert sequence",12858459,"AK018646",NA,NA,NA,"15///15 E1///15 E1","Chromosome 15, NC_000081.6 (77618968..77627398)///Chromosome 15, NC_000081.6 (77524852..77533334, complement)///Chromosome 15, NC_000081.6 (77388217..77399110, complement)","","","cellular_component///cellular_component","","","GO:0005575///GO:0005575",-1.05894458184871,8.00602821464412,-6.25178169108011,4.38911913901157e-05,0.0013756335113868,2.18274929088882
"1419388_at","1419388_at","transmembrane 4 L six family member 20","Tm4sf20","66261","","","","Mus musculus transmembrane 4 L six family member 20 (Tm4sf20), mRNA",146134937,"NM_025453",NA,NA,NA,"1 C5","Chromosome 1, NC_000067.6 (82756649..82768456, complement)","molecular_function","biological_process","integral component of membrane///membrane///plasma membrane","GO:0003674","GO:0008150","GO:0016021///GO:0016020///GO:0005886",-1.62357380867322,4.81054443333629,-6.215701440001,4.63211256357599e-05,0.00142993092902013,2.12731176796811
"1416677_at","1416677_at","apolipoprotein H","Apoh","11818","","","","Mus musculus apolipoprotein H (Apoh), mRNA",160358824,"NM_013475",NA,NA,NA,"11 D","Chromosome 11, NC_000077.6 (108395297..108414396)","glycoprotein binding///heparin binding///identical protein binding///lipid binding///lipoprotein lipase activator activity///phospholipid binding","blood coagulation///blood coagulation, intrinsic pathway///negative regulation of angiogenesis///negative regulation of blood coagulation///negative regulation of endothelial cell migration///negative regulation of endothelial cell proliferation///negative regulation of fibrinolysis///negative regulation of myeloid cell apoptotic process///negative regulation of respiratory burst///negative regulation of smooth muscle cell apoptotic process///organ regeneration///plasminogen activation///positive regulation of lipoprotein lipase activity///positive regulation of triglyceride catabolic process///regulation of blood coagulation///regulation of fibrinolysis///triglyceride metabolic process///triglyceride transport","cell surface///chylomicron///cytoplasm///extracellular exosome///colocalizes_with extracellular matrix///extracellular region///extracellular space///extracellular space///high-density lipoprotein particle///plasma membrane///very-low-density lipoprotein particle","GO:0001948///GO:0008201///GO:0042802///GO:0008289///GO:0060230///GO:0005543","GO:0007596///GO:0007597///GO:0016525///GO:0030195///GO:0010596///GO:0001937///GO:0051918///GO:0033033///GO:0060268///GO:0034392///GO:0031100///GO:0031639///GO:0051006///GO:0010898///GO:0030193///GO:0051917///GO:0006641///GO:0034197","GO:0009986///GO:0042627///GO:0005737///GO:0070062///colocalizes_with GO:0031012///GO:0005576///GO:0005615///GO:0005615///GO:0034364///GO:0005886///GO:0034361",-1.02415955287224,6.4718418378243,-6.19683952132091,4.76479052138961e-05,0.00145495475494376,2.09825650122123
"1455161_at","1455161_at","expressed sequence AI504432","AI504432","229694","","","","BB202185 RIKEN full-length enriched mouse cDNA library, C57BL/6J thymus 0 day neonate Mus musculus cDNA clone A430045A14 3-, mRNA sequence",15409753,"BB202185",NA,NA,NA,"3 F2.3","Chromosome 3, NC_000069.6 (107039504..107054322)","","","","","","",-1.1478467421327,5.8682913188782,-6.18702931831899,4.83538593316351e-05,0.00146658198366918,2.08312462704897
"1456336_at","1456336_at","cysteine-serine-rich nuclear protein 3","Csrnp3","77771","","","","BB182912 RIKEN full-length enriched, adult male hypothalamus Mus musculus cDNA clone A230102I24 3-, mRNA sequence",16270176,"BB182912",NA,NA,NA,"2 C1.3","Chromosome 2, NC_000068.7 (65845767..66031546)","DNA binding///sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding///transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding","apoptotic process///negative regulation of phosphatase activity///positive regulation of apoptotic process///positive regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///transcription, DNA-templated","nucleus","GO:0003677///GO:0043565///GO:0003700///GO:0001228","GO:0006915///GO:0010923///GO:0043065///GO:0045944///GO:0006355///GO:0006351","GO:0005634",-1.02853814472636,4.02567958774305,-6.18026409481172,4.88471532810301e-05,0.00147460204827827,2.07268152661277
"1434893_at","1434893_at","ATPase, Na+/K+ transporting, alpha 2 polypeptide","Atp1a2","98660","","","","UI-M-BG0-aht-a-04-0-UI.s1 NIH_BMAP_MSC Mus musculus cDNA clone UI-M-BG0-aht-a-04-0-UI 3-, mRNA sequence",5489083,"AI845177",NA,NA,NA,"1 79.6 cM","Chromosome 1, NC_000067.6 (172271709..172298064, complement)","ATP binding///contributes_to ATP binding///contributes_to ATPase activity///alpha-D-galactofuranose transporter activity///cation-transporting ATPase activity///chaperone binding///contributes_to drug binding///hydrolase activity///metal ion binding///nucleotide binding///contributes_to potassium ion binding///protein binding///contributes_to sodium ion binding///sodium:potassium-exchanging ATPase activity///sodium:potassium-exchanging ATPase activity///contributes_to sodium:potassium-exchanging ATPase activity///steroid hormone binding","ATP hydrolysis coupled proton transport///ATP hydrolysis coupled proton transport///ATP metabolic process///adult locomotory behavior///cellular potassium ion homeostasis///cellular potassium ion homeostasis///cellular response to mechanical stimulus///cellular response to steroid hormone stimulus///cellular response to steroid hormone stimulus///cellular sodium ion homeostasis///cellular sodium ion homeostasis///ion transport///locomotion///negative regulation of calcium ion transmembrane transport///negative regulation of calcium:sodium antiporter activity///negative regulation of cytosolic calcium ion concentration///negative regulation of heart contraction///negative regulation of striated muscle contraction///neurotransmitter uptake///potassium ion import///potassium ion import///potassium ion transport///regulation of blood pressure///regulation of cardiac muscle cell contraction///regulation of muscle contraction///regulation of respiratory gaseous exchange by neurological system process///regulation of smooth muscle contraction///regulation of striated muscle contraction///regulation of the force of heart contraction///regulation of vasoconstriction///regulation of vasoconstriction///response to glycoside///response to glycoside///response to nicotine///sodium ion export from cell///sodium ion export from cell///sodium ion transport///transport///visual learning","T-tubule///T-tubule///caveola///cytoplasm///dendritic spine///endosome///extracellular vesicle///integral component of membrane///integral component of plasma membrane///intercalated disc///intracellular membrane-bounded organelle///membrane///myelin sheath///neuron projection///plasma membrane///sarcolemma///sarcolemma///sodium:potassium-exchanging ATPase complex///synapse","GO:0005524///contributes_to GO:0005524///contributes_to GO:0016887///GO:0103116///GO:0019829///GO:0051087///contributes_to GO:0008144///GO:0016787///GO:0046872///GO:0000166///contributes_to GO:0030955///GO:0005515///contributes_to GO:0031402///GO:0005391///GO:0005391///contributes_to GO:0005391///GO:1990239","GO:0015991///GO:0015991///GO:0046034///GO:0008344///GO:0030007///GO:0030007///GO:0071260///GO:0071383///GO:0071383///GO:0006883///GO:0006883///GO:0006811///GO:0040011///GO:1903170///GO:1903280///GO:0051481///GO:0045822///GO:0045988///GO:0001504///GO:0010107///GO:0010107///GO:0006813///GO:0008217///GO:0086004///GO:0006937///GO:0002087///GO:0006940///GO:0006942///GO:0002026///GO:0019229///GO:0019229///GO:1903416///GO:1903416///GO:0035094///GO:0036376///GO:0036376///GO:0006814///GO:0006810///GO:0008542","GO:0030315///GO:0030315///GO:0005901///GO:0005737///GO:0043197///GO:0005768///GO:1903561///GO:0016021///GO:0005887///GO:0014704///GO:0043231///GO:0016020///GO:0043209///GO:0043005///GO:0005886///GO:0042383///GO:0042383///GO:0005890///GO:0045202",-1.32955759618954,6.8845545044484,-6.16004671638827,5.03534080546617e-05,0.00150496292688754,2.04143417967022
"1419561_at","1419561_at","chemokine (C-C motif) ligand 3","Ccl3","20302","","","","Mus musculus chemokine (C-C motif) ligand 3 (Ccl3), mRNA",126432552,"NM_011337",NA,NA,NA,"11 51.04 cM","Chromosome 11, NC_000077.6 (83647843..83649378, complement)","CCR chemokine receptor binding///chemokine activity///chemokine activity///cytokine activity///protein binding","G-protein coupled receptor signaling pathway///astrocyte cell migration///cellular response to interferon-gamma///cellular response to interleukin-1///cellular response to tumor necrosis factor///chemokine-mediated signaling pathway///chemotaxis///immune response///inflammatory response///leukocyte chemotaxis///lymphocyte chemotaxis///macrophage chemotaxis///monocyte chemotaxis///neutrophil chemotaxis///neutrophil chemotaxis///positive regulation of ERK1 and ERK2 cascade///positive regulation of GTPase activity///positive regulation of cytosolic calcium ion concentration///positive regulation of inflammatory response///positive regulation of interleukin-1 beta secretion///positive regulation of neuron apoptotic process///positive regulation of osteoclast differentiation///positive regulation of transcription from RNA polymerase II promoter///positive regulation of tumor necrosis factor production///regulation of cell shape","extracellular region///extracellular space","GO:0048020///GO:0008009///GO:0008009///GO:0005125///GO:0005515","GO:0007186///GO:0043615///GO:0071346///GO:0071347///GO:0071356///GO:0070098///GO:0006935///GO:0006955///GO:0006954///GO:0030595///GO:0048247///GO:0048246///GO:0002548///GO:0030593///GO:0030593///GO:0070374///GO:0043547///GO:0007204///GO:0050729///GO:0050718///GO:0043525///GO:0045672///GO:0045944///GO:0032760///GO:0008360","GO:0005576///GO:0005615",-1.57824043810334,5.78200660745306,-6.14356870585429,5.16175057244354e-05,0.00153258796950478,2.01592315019654
"1427119_at","1427119_at","serine peptidase inhibitor, Kazal type 4","Spink4","20731","","","","AV066321 Mus musculus small intestine C57BL/6J adult Mus musculus cDNA clone 2010107M21, mRNA sequence",5186149,"AV066321",NA,NA,NA,"4 A","Chromosome 4, NC_000070.6 (40920056..40931395)","peptidase inhibitor activity///serine-type endopeptidase inhibitor activity","negative regulation of peptidase activity","extracellular region","GO:0030414///GO:0004867","GO:0010466","GO:0005576",-1.26667549221174,7.904456742263,-6.10947201218887,5.43413342424555e-05,0.00159249416222806,1.9630120516818
"1430098_at","1430098_at","RIKEN cDNA 6330409D20 gene","6330409D20Rik","70730","","","","Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330409D20 product:hypothetical protein, full insert sequence",12857736,"AK018150",NA,NA,NA,"2","Chromosome 2, NC_000068.7 (32732620..32741016, complement)","molecular_function","biological_process","cellular_component","GO:0003674","GO:0008150","GO:0005575",-1.19378734395374,5.52898583642825,-6.09883537759411,5.52219232333698e-05,0.00160993145426517,1.94647219987473
"1447166_at","1447166_at","","","","","","","ul59a10.x1 Sugano mouse kidney mkia Mus musculus cDNA clone IMAGE:2123322 3-, mRNA sequence",5597381,"AI891479",NA,NA,NA,"","","","","","","","",-1.22764281778916,4.43832838804498,-6.08715163426932,5.62066673792965e-05,0.00162811618848661,1.92828548166558
"1418282_x_at","1418282_x_at","serine (or cysteine) preptidase inhibitor, clade A, member 1B","Serpina1b","20701","","","","Mus musculus serine (or cysteine) preptidase inhibitor, clade A, member 1B (Serpina1b), mRNA",93102380,"NM_009244",NA,NA,NA,"12 52.98 cM","Chromosome 12, NC_000078.6 (103728156..103738189, complement)","endopeptidase inhibitor activity///glycoprotein binding///identical protein binding///peptidase inhibitor activity///protease binding///protein binding///serine-type endopeptidase inhibitor activity///serine-type endopeptidase inhibitor activity","acute-phase response///in utero embryonic development///negative regulation of peptidase activity///protein N-linked glycosylation///response to cytokine///response to peptide hormone","Golgi apparatus///endoplasmic reticulum///extracellular exosome///extracellular region///extracellular space///extracellular space","GO:0004866///GO:0001948///GO:0042802///GO:0030414///GO:0002020///GO:0005515///GO:0004867///GO:0004867","GO:0006953///GO:0001701///GO:0010466///GO:0006487///GO:0034097///GO:0043434","GO:0005794///GO:0005783///GO:0070062///GO:0005576///GO:0005615///GO:0005615",-1.2316009020466,6.50480438376098,-6.08192598390567,5.66531130101068e-05,0.0016378923396595,1.9201450111374
"1424973_at","1424973_at","cytochrome P450, family 3, subfamily a, polypeptide 25","Cyp3a25","56388","","","","Mus musculus cytochrome P450 3A25 (CYP3A25) mRNA, complete cds",6525046,"AF204959",NA,NA,NA,"5 85.17 cM","Chromosome 5, NC_000071.6 (145977194..146009644, complement)","aromatase activity///heme binding///iron ion binding///metal ion binding///monooxygenase activity///oxidoreductase activity///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen///testosterone 16-alpha-hydroxylase activity///testosterone 6-beta-hydroxylase activity","oxidation-reduction process","endoplasmic reticulum///intracellular membrane-bounded organelle///membrane","GO:0070330///GO:0020037///GO:0005506///GO:0046872///GO:0004497///GO:0016491///GO:0016705///GO:0016712///GO:0008390///GO:0050649","GO:0055114","GO:0005783///GO:0043231///GO:0016020",-1.17391718555832,5.6806436851533,-6.07563044922387,5.7195961318738e-05,0.00164593964654777,1.91033270356779
"1427038_at","1427038_at","preproenkephalin","Penk","18619","","","","Mouse enkephalin mRNA",193027,"M13227",NA,NA,NA,"4 2.31 cM","Chromosome 4, NC_000070.6 (4133530..4138964, complement)","neuropeptide hormone activity///opioid peptide activity///opioid receptor binding","aggressive behavior///behavioral fear response///chemical synaptic transmission///locomotory behavior///locomotory exploration behavior///neuropeptide signaling pathway///positive regulation of behavioral fear response///sensory perception of pain///startle response","axon///axon terminus///axon terminus///cell body fiber///dendrite///dendrite///extracellular region///neuronal cell body///neuronal cell body///perikaryon///plasma membrane///symmetric synapse","GO:0005184///GO:0001515///GO:0031628","GO:0002118///GO:0001662///GO:0007268///GO:0007626///GO:0035641///GO:0007218///GO:2000987///GO:0019233///GO:0001964","GO:0030424///GO:0043679///GO:0043679///GO:0070852///GO:0030425///GO:0030425///GO:0005576///GO:0043025///GO:0043025///GO:0043204///GO:0005886///GO:0032280",-1.19789059370341,8.78047072347688,-6.07405232910921,5.73329013708464e-05,0.00164593964654777,1.9078721360804
"1423858_a_at","1423858_a_at","3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2","Hmgcs2","15360","","","","Mus musculus 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2, mRNA (cDNA clone MGC:25633 IMAGE:4216637), complete cds",15928471,"BC014714",NA,NA,NA,"3 42.74 cM","Chromosome 3, NC_000069.6 (98280431..98310738)","catalytic activity///hydroxymethylglutaryl-CoA synthase activity///hydroxymethylglutaryl-CoA synthase activity///transferase activity","cholesterol biosynthetic process///cholesterol metabolic process///isoprenoid biosynthetic process///lipid metabolic process///metabolic process///steroid biosynthetic process///steroid metabolic process///sterol biosynthetic process","mitochondrial inner membrane///mitochondrial matrix///mitochondrion///mitochondrion","GO:0003824///GO:0004421///GO:0004421///GO:0016740","GO:0006695///GO:0008203///GO:0008299///GO:0006629///GO:0008152///GO:0006694///GO:0008202///GO:0016126","GO:0005743///GO:0005759///GO:0005739///GO:0005739",-1.46309419463866,6.33610048426306,-6.05760528648838,5.87809468068487e-05,0.00167366128910081,1.88220711738951
"1443823_s_at","1443823_s_at","ATPase, Na+/K+ transporting, alpha 2 polypeptide","Atp1a2","98660","","","","",NA,"",NA,NA,NA,"1 79.6 cM","Chromosome 1, NC_000067.6 (172271709..172298064, complement)","ATP binding///contributes_to ATP binding///contributes_to ATPase activity///alpha-D-galactofuranose transporter activity///cation-transporting ATPase activity///chaperone binding///contributes_to drug binding///hydrolase activity///metal ion binding///nucleotide binding///contributes_to potassium ion binding///protein binding///contributes_to sodium ion binding///sodium:potassium-exchanging ATPase activity///sodium:potassium-exchanging ATPase activity///contributes_to sodium:potassium-exchanging ATPase activity///steroid hormone binding","ATP hydrolysis coupled proton transport///ATP hydrolysis coupled proton transport///ATP metabolic process///adult locomotory behavior///cellular potassium ion homeostasis///cellular potassium ion homeostasis///cellular response to mechanical stimulus///cellular response to steroid hormone stimulus///cellular response to steroid hormone stimulus///cellular sodium ion homeostasis///cellular sodium ion homeostasis///ion transport///locomotion///negative regulation of calcium ion transmembrane transport///negative regulation of calcium:sodium antiporter activity///negative regulation of cytosolic calcium ion concentration///negative regulation of heart contraction///negative regulation of striated muscle contraction///neurotransmitter uptake///potassium ion import///potassium ion import///potassium ion transport///regulation of blood pressure///regulation of cardiac muscle cell contraction///regulation of muscle contraction///regulation of respiratory gaseous exchange by neurological system process///regulation of smooth muscle contraction///regulation of striated muscle contraction///regulation of the force of heart contraction///regulation of vasoconstriction///regulation of vasoconstriction///response to glycoside///response to glycoside///response to nicotine///sodium ion export from cell///sodium ion export from cell///sodium ion transport///transport///visual learning","T-tubule///T-tubule///caveola///cytoplasm///dendritic spine///endosome///extracellular vesicle///integral component of membrane///integral component of plasma membrane///intercalated disc///intracellular membrane-bounded organelle///membrane///myelin sheath///neuron projection///plasma membrane///sarcolemma///sarcolemma///sodium:potassium-exchanging ATPase complex///synapse","GO:0005524///contributes_to GO:0005524///contributes_to GO:0016887///GO:0103116///GO:0019829///GO:0051087///contributes_to GO:0008144///GO:0016787///GO:0046872///GO:0000166///contributes_to GO:0030955///GO:0005515///contributes_to GO:0031402///GO:0005391///GO:0005391///contributes_to GO:0005391///GO:1990239","GO:0015991///GO:0015991///GO:0046034///GO:0008344///GO:0030007///GO:0030007///GO:0071260///GO:0071383///GO:0071383///GO:0006883///GO:0006883///GO:0006811///GO:0040011///GO:1903170///GO:1903280///GO:0051481///GO:0045822///GO:0045988///GO:0001504///GO:0010107///GO:0010107///GO:0006813///GO:0008217///GO:0086004///GO:0006937///GO:0002087///GO:0006940///GO:0006942///GO:0002026///GO:0019229///GO:0019229///GO:1903416///GO:1903416///GO:0035094///GO:0036376///GO:0036376///GO:0006814///GO:0006810///GO:0008542","GO:0030315///GO:0030315///GO:0005901///GO:0005737///GO:0043197///GO:0005768///GO:1903561///GO:0016021///GO:0005887///GO:0014704///GO:0043231///GO:0016020///GO:0043209///GO:0043005///GO:0005886///GO:0042383///GO:0042383///GO:0005890///GO:0045202",-1.1629474516372,8.84350928572438,-6.05264294608157,5.92254213155187e-05,0.00168419024385322,1.87445597296161
